Bulleen Boomers,Μπουλιν Μπουμερς,بولین بومرز
Ontario Clippers,Οντάριο Κλίπερς,آنتاریو کلیپرز
Calero Potosi,Καλέρο Ποτόσο,کالرو پوتوسی
UNC Asheville Bulldogs,UNC Άσβιλ Μπάλδογκς,آن سی اشویل بادلز
Nunawading Spectres,Νουναβάντινγκ Σπεκτρές,نوناوادینگ سپکترز
Texas Longhorns,Τέξας Λόνγκχορνς,تکساس لانگهورنز
Saarlouis Royals,Σααρλουά Ρόιαλς,سارلوئیس رئیلز
Virtus Pozzuoli,Βίρτους Ποτσουόλι,ویرتوس پوزوولی
China,Χάινα,چین
Youngstown State Penguins,Γιάνγκσταουν Στέιτ Πέγκινς,یانگاستاون پنگوئنز
Istanbul Efendileri,Ιστανμπούλ Εφεντίλερι,استانبول افندیلری
Central Districts Lions,Κέντραλ Διστρίκτς Λάιονς,سنترال دیستریکت لیونز
Virginia Tech Hokies,Βίρτζινια Τεκ Χόκις,ویرجینیا تک هاکیز
Gecit Spor,Γκέτσιτ Σπορ,گئچیت سپور
BC Spartak Pleven,Βί Σπάρτακ Πλέβεν,بی سی اسپارتاک پلوون
Louisiana Ragin' Cajuns,Λουιζιάνα Ραγκιν Κατζούνς,لوئیزیانا راجین کاجونز
Keysborough,Κέιςμπορου,کیزبرو
Antalya Gunesi,Αντάλια Γκούνεσι,آنتالیا گونزی
Switzerland,Χάινα,سوئیس‎
Kent State Golden Flashes,Γιάνγκσταουν Στέιτ Πέγκινς,کنت اسٹیٹ گولڈن فلیشز
Bnot Hertzeliya,Ιστανμπούλ Εφεντίλερι,بنوٹ ہرتزلیا
Ankaragucu Mamak Belediyesi,Κέντραλ Διστρίκτς Λάιονς,انکراگوسو ممک بلیڈیےسی
Maccabi Haifa,Βίρτζινια Τεκ Χόκις,مکابی حیفا
Keilor Thunder,Γκέτσιτ Σπορ,کیلور ٹھنڈر
Panathinaikos BC,Βί Σπάρτακ Πλέβεν,پاناتھینا کوس بی سی
Promitheas Patras BC,Λουιζιάνα Ραγκιν Κατζούνς,پرومیتیس پٹراس بی سی
Caledonia Gladiators,Κέιςμπορου,کیلیڈونیا گلیڈییٹرز
UC Irvine Anteaters,Αντάλια Γκούνεσι,یو سی اروین انٹیٹرز
Panama,Παναμά,پاناما
Dinamo Sassari,Ντινάμο Σασσάρι,دینامو ساساری
CD Universidad De Concepcion,ΚΔ Πανεπιστήμιο Κονσεσιόν,سیدی یونیورسیداد کنسیپشن
UMF Tindastoll,ΥΜΦ Τιννταστόλ,اواماف تینداستول
Hogsbo Basket,Χόγκσμπο Μπάσκετ,هوگزبو باسکت
Hapoel Jerusalem,Χαποέλ Ιερουσαλήμ,هاپوئل اورشلیم
CD Estela,ΚΔ Έστελα,سیدی استلا
Sigortam.net,Σιγκορτάμ.νετ,سیگورتام.نت
Harem Spor,Χαρέμ Σπορ,هارم سپور
KB Peja,ΚΒ Πέια,کیبی پئجا
Mckendree Bearcats,Μακεντρι Μπιρκάτς,مکندری بیرکتس
Vienna D.C. Timberwolves,Βιέννα Ντι Σι Ταμπουλφίνς,وینا دی سی تیموولفز
Csu Rookies Oradea,Κου Ροοκις Οραντέα,سی اس یو روکیز اورادئا
Saint Vallier,Σαιντ Βάλιερ,سنت والیه
Hermine Nantes Basket,Ερμίν Ναντ Μπασκέτ,هرمین نانت باسکت
Santiagueno BC,Σαντιαγκούενο Μπι Σι,سانتیاگوئنو بی سی
Stephen F. Austin Ladyjacks,Στιφεν Φ. Αστίν Λέιτζακς,استفن ف. اوستن لیدیجکس
Creighton Bluejays,Κρίτσον Μπλουζέις,کرائیتون بلوجیز
Sunbury Jets,Σάνμπερι Τζετς,سانبری جتس
Ball State Cardinals,Μπολ Στέιτ Καρδινάλς,بال ستیت کاردینالز
Pas Giannina,Πας Γιάννινα,پاس گیانینا
Libertas Livorno,Λιβέρτας Λιβόρνο,لیبرتاس لیوورنو
Bahamas,Μπαχάμες,باهاماس
Ironi Naharia,Ίρων Ναχαρία,آیرونی ناهاریا
BAM Poprad,Μπάμ Πόπραντ,بیایام پوپراد
Etoile Angers Basket,Ετοιλ Άντζερ Μπασκέτ,اتویل آنژر باسکت
Kk Bosco Zagreb,Κκ Μπόσκο Ζάγκρεμπ,کارونی بوسکو زاگرب
Rice Owls,Ράις Οολς,رایس اولز
CBA North All-Stars,ΚΒΑ Βορειοανατολικά Όλ Στάρς,سیبیای شمال آلاستارز
Legnano Knights,Λεγνάνο Νάιτς,لگنانو نایتس
Royal IV Brussels,Ρουάλ ΙΒ Μπράσλης,رویال چهارم بروکسل
Grand Rapids Gold,Γκράν Ράπιδς Γκολντ,گرند رپیدز گلد
Eisvogel Freiburg,Εισβόγελ Φράιμπουργκ,آیسووگل فرایبورگ
Fairleigh Dickinson Knights,Φέιρλιγκ Δίκινσον Ναίτς,فرلاین دیکینسون نایتس
Long Beach State Beach,Λονγκ Μπιτς Στέιτ Μπιτς,لانگ بیچ ستیت بیچ
Aisin Aw Wings,Αισίν Αου Γουινγκς,آیسین او دبلیوز
SBK Samorin,ΣΒΚ Σαμόριν,اس بی کی سامورین
Bnei Herzliya Basket,Μπνει Χερτσλιγιά Μπασκετ,بنی هرزلیا باسکت
KK Cibona,ΚΚ Τσιμπόνα,کارلونا کیبونا
Montana State Bobcats,Μόντανα Στέιτ Μπόμπκατς,مونتانا ستیت بابکاتس
Sacred Heart Pioneers,Σέικρετ Χάρτ Παΐονερς,سیکرید هارت پیوینرز
UAB Blazers,ΥΑΜ Μπλέιζερς,یوایبی بلیزرز
BC Apollon Limassol,Μπι Σι Απόλλων Λιμασσόλ,بی سی اپولون لیماسول
UMASS Minutewomen,ΥΜΑΣ Μινιυτουμίνεν,یوماس مینوتوومن
BC Kolossos Rhodes,Μπι Σι Κολοσσός Ρόδος,بی سی کولوسوس رودس
Pallacanestro Mantovana,Παλλακανέστρο Μαντοβάνα,پالاکانسترو مانتووانا
BC Levski,Μπι Σι Λευσκί,بی سی لووسکی
Dandenong Rangers,Νταντενόνγκ Ρέιντζερς,داندنونگ رنجرز
Artland Dragons,Άρτλαντ Ντράγκονς,آرتلند درگونز
Duke Blue Devils,Ντιουκ Μπλυ Ντέβιλς,دوک بلو دیویلز
Mercyhurst Lakers,Μέρσιχαρστ Λέικερς,مرسی هرست لیکرز
AEO Proteas Voulas,ΑΕΟ Πρωτέας Βούλας,آئی او پروتئاس وولاس
CB Cojute,ΚΒ Κουτέ,سی بی کوجوته
KK Dinamo Zagreb,ΚΚ Δινάμο Ζάγκρεμπ,کی کی دینامو زاگرب
CB Estudiantes,ΚΒ Εστουδιαντές,سی بی استودیانتس
Montenegro,Μαυροβούνιο,مونته نگرو
CEB Puerto Montt,ΚΕΒ Πουέρτο Μόντ,سی ای بی پورتو مونت
Mazeikiai M Basket,Μαζεικιάι Μ Μπασκέτ,مزیکیای م باسکت
Japan,Ιαπωνία,جاپان
BC Novy Jicin,ΜΒ Νόβι Γιτσίν,بی سی نووی ییچین
Italy,Ίταλι,ایتالیا
Uniao Sportiva,Ουνιά Σπορτ Βίσα,یونیو سپورتیوا
Nika Syktyvkar,Νίκα Σίκτιβκαρ,نیکا سیکتیوکار
San Francisco Dons,Σαν Φρανσίσκο Δονς,سن فرانسیسکو دانز
Anadolu Efes SK,Αναδόλου Έφες ΣΚ,آنادولو افس اس کی
Vefa 1908,Βεφά 1908,وفا 1908
Petro de Luanda,Πετρό ντε Λουάντα,پترو د لواندا
APOP Paphos,ΑΠΟΠ Πάφος,آپوپ پافوس
Dallas Mavericks,Ντάλας Μαχαβιές,دالاس مکس
Timplados Hotshots,Τιμπλάντος Χότσοτς,تیمپلادوس هاتشوتس
Beirut SC,Μπέιρουτ ΣΚ,بیروت اسسی
CS Municipal Galati,ΚΣ Μονικιπάλ Γκαλάτι,سیاس مونیسیپال گالاتی
Brussels Basketball,Μπρυσελς Μπάσκετ,بروسلز بسکتبال
Arkansas Razorbacks,Άρκανσας Ρέιζερμπακς,آرکنساس ریزربکس
Ovarense Basquetebol,Οβαρένσε Μπασκετμπολ,اوارنسه باسکتبال
Kk Bosco,Κκ Μπόσκο,کای کی بوسکو
Leuven Bears,Λέουβεν Μπέαρς,لوون بیرز
Club Trouville,Κλαμπ Τρουβίλ,کلب تروویل
Busan BNK Sum,Μπουσάν ΜΠΝΚ Σαμ,بوسان بیانکی سام
Newcastle Falcons,Νιουκάστλ Φάλκονς,نیوکاسل فالکونز
Northern Arizona Lumberjacks,Νόρθερν Άνζονα Λάμπερτζακς,نورذن ایزونی لامبرجکس
Bima Perkasa Jogja,Μπίμα Περκάσα Τζόγκια,بیما پرکاسا جوجا
BC Telsiai,Μπί Σι Τελσιάι,بیسی تلسیای
Landerneau Bretagne Basket,Λαντερνου Μπρατσάν Μπασκέτ,لاندرنو برتان باسکت
Basketball Lowen Braunschweig,Μπασκετάουλ Λόουεν Μπράουνσχαϊγκ,بسکتبال لوئن براونشویگ
Slovakia,Σλοβακία,اسلواکیا
KP Brno,ΚΠ Μπρνο,کیپی برنو
Stal Ostrow Wielkopolski,Σταλ Οστρόου Βιελκόπολιςκι,استال استرو ویلکوپولسکی
Camberwell Dragons,Κάμπεργουελ Ντράγκονς,کمبرول درگونز
Hapoel Holon BC,Χαπόελ Χόλον Μπί Σι,هاپوئل هولون بیسی
New Zealand Breakers,Νιου Ζηλανδ Μπρέικερς,نیوزیلند بریکرز
Asa Koroivos,Άσα Κοροϊβος,آسا کورویوس
Skk Polonia Warszawa,Σκκ Πολόνια Βαρσοβά,اسکی پولونیا ورشوا
Olympiakos Pireaus,Ολυμπιακός Πειραιάς,اولمپیاکوس پیرئوس
Indiana Fever,Ίντιανα Φιβερ,ایندیانا فیور
Dinamo Novosibirsk,Ντινάμο Νοβοσιμπρσκ,دینامو نووسیبرسک
Geelong Supercats,Γκιλινγκ Σουπεκατς,جیلینگ سوپرکتس
Mattersburg Rocks,Ματερσμπουργκ Ροκς,ماترسبورگ راکس
Sandringham Sabres,Σαντρινγχαμ Σέιμπλς,سندرینگهام سیبرز
AEL Limassol BC,ΑΕΛ Λιμασσού Μπάσκετ,آئی ایل لیماسول بی سی
BC Beroe SZ,ΒΚ Μπέροε ΣΖ,بیسی بروه اسزد
Ir Reykjavik,Ήρ Ρέικιαβικ,ایر ریکساویک
Nuremberg Falcons BC,Νιούρμβεργκ Φάλκονς ΜπΚ,نورنبرگ فالکنز بیسی
Rutgers Scarlet Knights,Ράτγκερς Σκάρλετ Νάιτσ,راتجرز سکارلت نایتس
Sam Basket Massagno,Σαμ Μπάσκετ Μασσάγνο,سام باسکت ماساگنو
Maryland Terrapins,Μέριλαντ Τερράπινς,مریلند تراپینز
BC Minsk,ΒΚ Μινσκ,بیسی مینسک
Greece,Ελλάδα,یونان
CD AB Temuco,ΚΔ ΑΜ Τέμουκο,سیدی ایبی تموکو
Diamond Valley Eagles,Ντάιαμοντ Βέλεϊ Έιγλς,دایموند والی ایگلز
Milwaukee Bucks,Μίλωουακι Μπακς,میلووکی باکس
Kansas Jayhawks,Κάνσας Τζέιχουκς,کنساس جیهوکز
BK Opava,Μπί Κι Οπάβα,بی کی اوپاوا
Altiri Chiba,Αλτίρι Τσίμπα,التیری چیبا
Wake Forest Demon Deacons,Γουέικ Φορεστ Ντεμον Ντέικονς,ویک فورست دمون دیکنز
Elachem Vigevano 1955,Ελακέμ Βιγκεβάνο 1955,الاچم ڤیگوانو 1955
USC Trojans,ΥΣΚ Τρόιανς,آی اس سی ٹروجنز
BC Zaporizhya,Μπί Σι Ζαπορίζυα,بی سی زاپوریژیا
PS Karlsruhe Lions,ΠΣ Κάρλσουε Λάιονς,پی اس کارلسھایو لائنز
Bentley Falcons,Μπέντλεϊ Φάλκονς,بنٹلے فالکنز
New Orleans Pelicans,Νιου Ορλεάνης Πελικάντς,نیو اورلئنز پلیسنتس
Tarleton State Texans,Ταρλτον Στέιτ Τίξανς,تارلتون اسٹیٹ تینز
Manly Warringah Sea Eagles,Μάνλυ Γουάρινγκαχ Σί Ίλς,مینلی وارنگہ سی ایلز
Boraas Basket,Μπόρας Μπασκέτ,بوراس بسکٹ
Michigan Wolverines,Μίσιγκαν Γουόλβερινς,مشی گن ولوورائنز
Basket Golfo Piombino,Μπασκέτ Γκολφο Πιόμπινο,بسکٹ گولفو پیومبینو
Keravnos Strovolou Nicosia,Κεραβνός Στροβολού Νίκοσια,کیرونوس سٹروولو نیکوزیا
Bankstown Bruins,Μπάνκσταουν Μπρουζ,بینکسٹاون برونز
Wonju DB Promy,Γουόντζου Ντι Μπρόμι,وونجو دی بی پرومی
Pato Basquete,Πάτο Μπασκέτ,پٹو بسکٹ
Elan Bearnais Pau-Lacq-Orthez,Ελαν Μπερνέ Πω-Λακ Ορθεζ,Īlān Bērnāīs Pō-Lāk-Ōrthēz
Slovenia,Σλοβενία,Slōvēniyā
Woodville Warriors,Γουόνβιλ Γουάριορς,Vūdvīl Vōl'vərīnz
Notre Dame Fighting I.,Νότρε Ντέιμ Φάιτινγ Ι.,Nōtr Dām Faitin' Ī.
Utah Valley Wolverines,Γιουτά Βάλεϊ Γουλφερινς,Yūtəh Vāl'vī Vōl'vərīnz
USC Trojans,ΥΣΚ Τρόπανς,Yū-Ēs-Sī Trōjənz
Japan,Ιαπωνία,Jāpən
SKS Starogard Gdanski,ΣΚΣ Σταρογκάρνσκι,Ēs-Kē-Ēs Stārōgārd Gdānski
Baloncesto Leganes,Μπαλονσέστο Λεγκάνες,Bālōnkestō Lēgənēs
South Sudan,Νότια Σουδάν,Sauθ Sūdān
Willetton Tigers,Γουίλετον Τίγρης,ویلتون تایگرز
Hapoel Eilat,Χαποέλ Εϊλάτ,هاپول ایلات
Iceland,Ισλανδία,ایسلند
BC Andorra,Μπι Σι Αντόρα,بیسی اندورا
Israel,Ισραήλ,اسرائیل
VBW Cekk Cegled,ΒΒΓ Τσεκ Τσεγκλεντ,ویبیدبلیو چک چگلد
Nanterre 92,Ναντερέ 92,نانتره ۹۲
Perth Redbacks,Περθ Ρεδμπεκς,پرت ه ردبکس
Egypt,Αίγυπτος,مصر
San Jose State Spartans,Σαν Τζος Στέιτ Σπάρτανς,سن جوز اسٹیٹ سپارٹنز
MKS Start Lublin II,ΜΚΣ Σταρτ Λούμπλιν II,میکیاس ستارت لوبلین دوم
New Basket Brindisi,Νιου Μπασκετ Μπριντζί,نیو باسکت بریندیسی
Skyliners Frankfurt,Σκάιλινερς Φρανκφούρτης,اسکایلاینرز فرانکفورت
Zenit Saint Petersburg,Ζένιτ Σαιντ Πετερσμπουργκ,زنیت سنت پترزبورگ
Nidaros Jets,Νίνταρος Τζετς,نیداروس جتس
Hobart Chargers,Χόμπαρτ Τσάργκερς,هوبارت چارجرز
New Zealand,Νέα Ζηλανδία,نیوزیلند
Pallacanestro Fiorenzuola,Παλλακανέστρο Φιορεντζουλα,پالاکانسترو فیورنزوولا
Emmanuel Lions,Εμμανουέλ Λάιονς,امانوئل لاینز
Kaposvari KK,Καποσβάρι ΚΚ,کاپوشواری کیکی
Kawasaki Brave Thunders,Καβασάκι Μπρέιβ Θάνδερς,کواساکی بریو تاندرز
Spirou Charleroi B,Σπίρου Σαρλερόι Βι,اسپیرو چارلروی بی
Finland,Φινλανδία,فنلاند
CA Goes,ΚΑ Γκόες,سی ای گوز
Norths Bears,Νόρθς Μπιάρς,نورتس بیرز
Cambodia,Καμπότζη,کامبوج
Maccabi Tel-Aviv,Μακκάμπι Τελ-Αβίβ,مکابی تل-اویو
Hottur,Χόττουρ,هوتور
Akronos Moncalieri,Ακρόνος Μονκαλιέρι,آکرونوس مونکالیری
Jamestown Jackals,Τζαμάισταϊν Τζάκαλς,جماستاون جکالز
Beijing Ducks,Μπίτζινγκ Ντακς,بیجینگ داکس
Basketball Nymburk,Μπάσκετ Νυμπούρκ,بسکتبال نیمبورک
BC Nevezis Kedainiai,Μπί Σί Νεβέζις Κενταίνιαι,BC نوئزیس کداینیای
Indiana Pacers,Ίντιανα Πέικερς,ایندیانا پینسرز
Estonia,Εσθονία,استونی
Urunday Universitario,Ουρούνταϊ Ουνιβερσιτάριο,اوروندای یونیورسیتاریو
CS Municipal Targu Mures,Σί Εσ Μονικιπάλ Τάργκου Μούρες,CS مونیسیپال تارگو مورس
Toros De Aragua,Τόρος Δε Αράγκουα,توروس د اراگوا
South West Metro Pirates,Νότιο Ντο Μεστρό Πέιρατς,جنوب غرب مترو پیترز
Penrith Panthers,Πένριθ Πάνθερς,پنریت پنترز
Louisville Cardinals,Λουισβιλ Καρντινάλς,لوییسویل کاردینالز
Kennesaw State Owls,Κέννεσου Στέιτ Όουλς,کنسو اسٹیٹ اولز
Manawatu Jets,Μαναγκάτου Τζετς,ماناواتو جٹس
Fantasmas San Vicente,Φάντασμας Σαν Βισέντε,فانتاسماس سان ویسنٹی
Colorado State Rams,Κολοράντο Στέιτ Ραμς,کولورادو اسٹیٹ رمز
Southern University Jaguars,Νότια Πανεπιστήμιο Τζαγκουάρ,ساؤٹرن یونیورسٹی جیکوئلز
Yale Bulldogs,Γέιλ Μπάτγουλς,ییل بڈگلز
AS Ramat Hasharon,ΑΣ Ραματ Χασαρών,ایس رمت ہشارون
Virginia Union Panthers,Βιρτζίνια Γκάουνιον Πάνθερς,ورجینیا یونیون پینٹرز
Bkg-Prima,Μπκγ-Πρίμα,بکگ-پریما
Logan Thunder,Λόγκαν Θάντερ,لوگان تاندر
Albacete Basket,Αλμπακέτε Μπασκέτ,آلباچته بسکت
Czech Republic,Τσεχική Δημοκρατία,جمهوری چک
UCAM Murcia,ΟΥΚΑΜ Μούρθια,یوکام مورسیا
Metapan BC,Μεταπάν Μπί Σι,متاپان بیسی
Bumi Borneo Basketball Pontianak,Μπούμι Μπόρνεο Μπασκέτ Ποντιανάκ,بومی بورنئو بسکتبال پونتیاناک
Upper Austrian Ballers,Άνω Ουστριακοί Μπάλερς,آپر اتریش بالرز
Missouri St Louis Tritons,Μισούρι Στ. Λουίς Τρίτονς,میزوری سنت لوئیس تریتونز
Lander Bearcats,Λάντερ Μπέαρκατς,لندر بیرکتس
KK Gorica,ΚΚ Γκορίτσα,کیکی گوریتسا
Seyhan Belediyespor,Σεϊχαν Μπελεντιϊεσπορ,سیهان بلدیهسپور
USA,ΥΣΑ,آمریکا
BC Polkowice,Μπι Σι Πολκοβιτσε,بیسی پولکوویتس
Kangoeroes Basket Mechelen,Κανγκοροεσ Μπασκετ Μετσελεν,کانگوروز بسکت مچلن
Shanxi Xing Rui Flame,Σανξι Ξινγκ Ρουι Φλαμε,شانشی ایکسینگ روئی فلیم
Atenas Cordoba,Ατενας Κορντομπα,آتناس کوردوبا
Maccabi Rehovot,Μακκαμπι Ρεχοβοτ,مکابی رهووت
Basket Brno,Μπασκετ Μπρνο,بسکت برنو
Hba-Marsky,Χμπνερ Νυιρεγιχαζα Μπι Σι,هبنر نیرهگیهازا بیاس
Hubner Nyiregyhaza BS,Χουμπνερ Νυιρεγιχαζα Μπι Σι,هابنر نیرهگیهازا بیاس
China,Χάινα,چین
BK Amager,Μπί Κι Άμαγκερ,بیکی اماگر
Pallacanestro Sala Consilina,Παλλακανεστρό Σάλα Κονσιλίνα,پالاکانسترو سالا کونسیلینا
Hornsby Spiders,Χορνσμπαϊ Σπάιντερς,هورنسبی اسپایدرز
Team Lebron,Ομάδα Λεμπρόν,تیم لبرن
Mes Kerman,Μες Κερμάν,مس کرمان
Obras Sanitarias,Ομπράς Σανιτάριας,ابراس سانیتاریس
Wis Green Bay Phoenix,Γουίς Γκριν Μπέι Φοξενικς,ویس گرین بی پیکس
France,Γαλλία,فرانسه
Holbaek-Stenhus,Χολμπάεκ-Στενχους,هولباک-استنهوس
Joondalup Wolves,Τζουνταλούπ Γουλφς,جوندالوپ ولفز
London Lightning,Λονδιν Λιτνινγκ,لندن لیگتن
Southern Districts Spartans,Νότια Περιοχή Σπάρτανς,ساوترن دیستریکت سپارتنز
Centauros de Portuguesa,Κεντάουρος ντε Πορτογκέζα,سنتاوروس ده پرتوگالسا
Quimsa Santiogo Del Estero,Κουίμσα Σαντιάγκο ντε Εστερό,کویمسا سانتیاگو دل استرو
JS Menzah,ΤζΕ Μενζά,جی اس منزا
KK Triglav Kranj,ΚΚ Τρίγλαφ Κράνι,کی کی تریگلاو کرانج
San Diego State Aztecs,Σαν Ντιγκο Στέιτ Αζτέκς,سن دیگو استیت ازتکز
Southern Arkansas Muleriders,Νότια Αρκάνσας Μαϊλεράιντερς,ساوترن آرکانزاس مولرایدرز
Wwu Baskets Munster,Γουου Μπάσκετς Μούνστερ,وی وی یو بسکتس مونستر
Western Port Steelers,Ουέστερν Πορτ Στίελερς,وسترن پورت استیلرز
Ionikos Nikaias BC,Ίωνικος Νικαίας ΜπΚ,ایونیکوس نیکایاس بیسی
Kk Podgorica,ΚΚ Ποτγκόριτσα,کیکی پادگوریتسا
Lakeland Magic,Λέικλαντ Μάγικ,لیکلند مجیک
Hamburg Towers,Χαμμπουργκ Τάουερς,هامبورگ تاورز
Baylor Bears,Μπέιλορ Μπέαρς,بیلور بیرز
Taipei  Fubon Braves,Ταϊπέι Φουμπόν Μπρέιβς,تایپه فوبون بریوز
Ada Blois Basket 41,Άντα Μπλόι Μπασκέτ 41,آدا بلوئیس باسکت ۴۱
Antibes Sharks,Άντιμπ Σαρκς,آنتیب شارکز
North Gold Coast Seahawks,Νορθ Γουλδ Κόστ Σάλουικς,نورت قلد کواست سیکولز
Washington Wizards,Ουάσινγκτον Γουίζαρντς,واشنگتن ویزاردز
Sichuan Blue Whales,Σιτσιαν Μπλου Ουέιλς,سیچوآن بلو ویلز
Akita Northern Happinets,Ακίτα Νόρθερν Χαπινετς,آکیتا نارترن هاپینتز
Bosnia & Herzegovina,Βοσνία & Ερζεγοβίνη,بوسنیا و هرزگوین
Fortitudo Agrigento,Φορτιτούντο Αγκρίγκεντο,فورتیتودو آگرینتو
KOS Celovec,ΚΟΣ Κελόβετς,کی او اس دی کلووچ
Maccabi Raanana,Μακκαμπι Ραανανά,ماکابی رانانا
CSD Comunicaciones,ΚΣΔ Κομουνικασιόνες,سی اس دی کامونیکاسیونز
Alba Berlin,Άλμπα Μπέρλιν,آلبا برلین
FC Barcelona,ΦΚ Μπαρτσελόνα,اف سی بارسلونا
Launceston Tornadoes,Λάουνκεστον Τορνάουντς,لانستون تورنادوز
Satya Wacana LBC,Σάτια Βακάνα ΛΒΚ,ساتیا واکانا البیسی
Basket Crema,Μπάσκετ Κρέμα,باسکت کرما
Boston Celtics,Μπόστον Κέλτικς,بوستون سلتیکس
Southside Flyers,Ντάουτθσαιδ Φλάιερς,ساوتساید فلایرز
Spirou Charleroi,Σπίρου Σαρλερόι,اسپیرو چارلروای
Phoenix Hagen,Φοίνιξ Χάγεν,فینیکس هاگن
BK SK Umb Banska Bystrica,ΜπΚ ΣΚ Ουμπ Μπάνσκα Μπίστριτσα,بیکی اسکی امب بانسکا بیستریکا
LTHcast Mercator,ΛΤΗκαστ Μερκάτορ,التیاچ امرکاتور
Bisons Loimaa,Μπίσονς Λοϊμάα,بیسونز لویما
Gussing/Jennersdorf Blackbirds,Γκουσινγκ/Τζένερσντορφ Μπλακμπάρντς,گوسینگ/جنرزدورف بلکبردز
Helsinki Seagulls,Χέλσινκι Σιγκούλς,هلسینکی سگالز
BC Guco Lier,Μπι Σι Γκουκο Λιερ,بی سی گوکو لیر
Southern Districts Spartans,Νότια Διαμερίδα Σπάρτανς,ساوترن دیستریکتس اسپارتنز
