Americup Qualification,Αμερικανικάπ Προσομοίωση,امریکاکاپ قوالیفیشن
BNXT Dutch League,Μπι Εν Εξ Της Νταχτ Λιγκ,بی اِن اِکس تی دچ دتش لیگ
Leaders Cup LNB,Λίδερς Καπ ΛΕΝΜΠΕ,لیڈرز کاپ اِل اِن بی
Serie B,Σέρι Βι,سری بی
IBL,ΑΙΜΠΛ,آی بی اِل
NBL1 - East,ΝΜΠΛ1 - Ανατολή,اِن بی اِل وان - اِست
NBL1 South - Women,ΝΜΠΛ1 Νότος - Γυναίκες,اِن بی اِل وان ساوت - ویمن
LUB,ΛΑΜΠ,لوب
ZBL,ΖΙ ΜΠΙ ΕΛ,زی بی ال
NCAA Division I National Championship,ΕΝ ΣΙ ΕΙ ΕΙ ΕΝΣΙ ΕΙ ΝΑΣΙΟΝ ΤΣΑΜΠΙΟΝΣΙΠ,نیویورک ایکیونی دیویشن وان نیشنل چیمپشن
Basketball Africa League,ΜΠΑΣΚΕΤΒΑΛΛ ΑΦΡΙΚΑ ΛΙΓΥΕ,بسکتبال افریقا لیگ
Serie A,ΣΕΡΙΕ Α,سری ای
NBL,ΕΝ ΜΠΙ ΕΛ,ان بی ال
B.League,ΜΠΙ ΛΙΓΚ,بی لیگ
Magyar Kupa,ΜΑΓΙΑΡ ΚΥΠΑ,ماگیار کوپا
Premier League Women,ΠΡΕΜΙΕΡ ΛΙΓΚ ΟΥΕΜΕΝ,پریمیر لیگ ویمن
Top Division 1,ΤΟΠ ΔΙΒΙΣΙΟΝ 1,تاپ دیویشن وان فارسی
WKBL,ΓΚΒΛ,وی کی بی ال
International Friendly Games - Women,Διεθνείς Φιλικοί Αγώνες - Γυναίκες,بازی‌های دوستانه بین‌المللی - زنان
Pro B,Προ Β,پرو بی
Urvalsdeild,Ουρβαλσδεϊλντ,اوروالسدیلد
LKL,ΛΚΛ,ال کی ال
Cup,Κύπελλο,کاپ
Cup,Κύπελλο,کاپ
NCAA Division II National Championship,Πρωτάθλημα NCAA Division II,شبانه نامه ای ۲ دیویشن
A1 - Women,Α1 - Γυναίκες,آی ۱ - زنان
European Championship Qualification,Προκριματικό Ευρωπαϊκού Πρωταθλήματος,شبانه نامه امتیازات قهرمانی اروپا
KML,ΚΜΛ,کی‌ام‌ال
Türkiye Kupasi,Τέρκιε Κουπάσι,تورکیه کوپاسی
National Invitation Tournament,Νατιοναλ Ινβιτάτιον Τουρναμεντ,نیشنل اینویشن ٹورنامنٹ
BNXT League,ΜπΝΞΤ Λιγκ,بی‌ان‌ایکس‌ٹی لیگ
Europe Cup,Ευρωπαϊκή Κουπά,یورپ کپ
Alpe Adria Cup,Άλπε Αντρια Κουπά,الپے ادریا کپ
Zweite Liga,Ζβαιτε Λίγκα,زوائٹ لیگا
National League,Νατιοναλ Λιγκ,نیشنل لیگ
SBL - Women,ΣΒΛ - Γυναίκες,اس‌بی‌ال - ویمن
1 Liga,1 Λίγκα,پہلا لیگا
United League,Γιουνάιτεδ Λιγκ,وینٹیڈ لیگ
Elite League,Έλαιτ Λιγκ,الائٹ لیگ
Big V - Women,Μπιγ Βι - Γυναίκες,بگ وی - ویمن
WNBL,ΓΔΝΜΠ,دبلیو این بی ایل
WBL - Women,ΓΔΜΠ - Γυναίκες,دبلیو بی ایل - ویمن
TB2L,ΤΜ2Λ,ٹی بی ٹو ایل
Pro A,Προ Α,پرو اے
LPB,ΛΠΜΠ,ال پی بی
B2.League,Β2.Λιγκ,بی ٹو لیگ
