"Jaruskova, Timea",Τίμεα Τζαρούσκοβα,جاروسکووا، تیمه
"Santos Gava, Kaua Lorenzo","Σάντος Γκάβα, Κάουα Λορέντο",سانتوس گاوا، کاوا لورنزو
Ccuno R / Iamachkine A,Κουνό Ρ / Ιαματσκίνε Α,کونو آر / ایاماچکین ای
"Schmitz, Francesco","Σμίτς, Φραντσέσκο",شمیتز، فرانسکو
Daubnerova N / Stresnakova K,Νταούμπνεροβα Ν / Στρεσνάκοβα Κ,داوبنرووا نی / استرشناکووا کا
"de Cuyper, Julien","Ντε Κούπερ, Τζουλιέν",دی کویپر، ژولین
"Ortenzi, Gian Marco","Ορτεντζί, Γκιάν Μάρκο",اورتنزی، ژان مارکو
Bhatia K / Rathi A,Μπατία Κ / Ράθι Α,بهتیا کا / راتی ای
"Vasileva, Alisa","Βασίλεβα, Άλισα",واسیلووا، آلیسا
"Guttikonda, Delisha","Γκουτικόντα, Δελίσα",گوتیکوندا، دلیشا
"Troiano, Carolina","Τροϊάνο, Καρολίνα",ترویانو، کارولینا
Cascino E / Monnet C,Καστσίνο Ε / Μοννέ Κ,کاسسینو ای / مونت سی
"Konstantinova, Yoana","Κωνσταντίνοβα, Γιόανα",کنستانتینووا، یوانا
Fomin S / Golubev D,Φόμιν Σ / Γκολούμπεφ Ντ,فومین اس / گولوبو دی
Kuzmova K / Shauha D,Κουζμόβα Κ / Σαούχα Ντ,کوزمووا کی / شاها دی
Bervid V / Smejkalova A,Μπερβίντ Β / Σμέικαλοβα Α,بروید وی / اسمجکالووا آ
"Kubanova, Karolina","Κουμπάνοβα, Καρολίνα",کوبانووا، کارولینا
Haerteis J / Schnaitter J,Χαέρτεις Τζ / Σνάιττερ Τζ,هرتیس جی / شناتر جی
"Novak, Jakub (2003)","Νόβακ, Τζακούμπ (2003)",نوواک، یاکوب (۲۰۰۳)
"Zhu, Michael","Ζου, Μάικελ",زوح، مایکل
Mihail D M / Tothova E,Μιχαήλ Δ Μ / Τοτόβα Ε,مایکل دی ام / توتووا ای
"Kovac, Jelena","Κόβακ, Ιελένα",کوواچ، جلنا
"Gurnani, Ayush","Γκουρνάνι, Άγιους",گورنانی، آیوش
"Cherepin, Artem","Χερεπίν, Αρτέμ",چرهپین، آرتم
"Stewart, Andre","Στιουάρτ, Άντρε",استوارت، اندره
"Puig Molin, David","Πουιγκ Μολίν, Δαβίδ",پویگ مولین، داوید
"Lopez, Dani","Λόπεζ, Δάνι",لوپز، دانی
Brown D / Qureshi A-U-H,Μπράουν Δ / Κουρέσι Α-Υ-Η,براون دی / کورشی اے-یو-اچ
"Arystanbekova, Asylzhan","Αριστανμπεκόβα, Ασυλζαν",آریستانبکووا، آسیلزهان
Nazarenko D / Yamaguchi A,Ναζαρένκο Ντ / Γιαμαγκούτσι Α,نازارنکو دی / یاماگوچی آ
Duncan S / Willis M,Ντάνκαν Σ / Γουίλις Μ,دانکن سی / ویلیس ام
Granwehr A / Kozakova K,Γκρανγουέρ Α / Κοζάκοβα Κ,گرانوهر آ / کوزاکووا ک
Shelton B / Vale D,Σέλτον Μπ / Βέιλ Ντ,شلتون بی / ویل دی
Cachin P / Cerundolo F,Κατσίνι Π / Τσερουντόλο Φ,کاچین پی / کروندولو ف
"Pang, Sarah","Πανγκ, Σάρα",پنگ، سارا
Gorgodze E / Shymanovich I,Γκοργκότζε Ε / Σιμανοβιτς Ι,گورگودزه ای / شیمانوویچ ای
"Sutekin, Emir","Σουτεκίν, Εμιρ",سوتکین، امیر
Kasnikowski M / Nesterov P,Κασνικόφσκι Μ / Νεστερόφ Π,کاسنیکووسکی م / نستروف پی
"Martincova, Tereza","Μαρτίντσοβα, Τερέζα",مارتینکووا، ترزا
Castagnola L / Nejedly P,Κασταγνόλα Λ / Νεϊμέντι Π,کاستانولا ل / نجدلی پی
Kalinskaya A / Vondrousova M,Καλίνσκια Α / Βοντρούσοβα Μ,کالینسکایا آ / ووندروسووا م
"Arakawa, Natsuho","Αρακάβα, Νατσούχο",آراکاوا، ناتسوهو
"Teixido Garcia, Maria Aran","Τειξίντο Γκαρσία, Μαρία Αράν",تکسیدو گارسیا، ماریا آران
Khomutsianskaya D / Kubareva A,Χομουτσιάνσκα Ντ / Κουμπάρεβα Α,خوموتسیانسکایا دی / کوباره آ
"Niimi, Koharu","Νιίμι, Κοχάρου",نییمی، کوهارو
"Nucera, Thomas","Νουκέρα, Τόμας",نوشهر، توماس
"Kawamura, Mana","Καβαμούρα, Μάνα",کاوامورا، مانا
"Dmitruk, Kristina","Ντμίτρουκ, Κριστίνα",دیمتروک، کریستینا
"Siddiqui, Amaan","Σιντικί, Αμάαν",سیدیکوی، آمان
"Khlyvniuk, Maksym","Χλυβνιούκ, Μακσίμ",خلیونیوک، ماکسیم
"Bogo, Enrique","Μπόγο, Ένρικε",بوگو، انریکه
"Krueger, Mitchell","Κρουγκερ, Μίτσελ",کروگر، میشل
"Boitsov, Ivan","Μποϊτσόφ, Ιβάν",بویتسوف، ایوان
"Asghari, Omid","Άσγκαρι, Ομίντ",اصغری، امید
"La Cagnina, Noemi","Λα Καγινά, Νοέμι",لا کانینا، نوئمی
"Baltic, Ena","Μπάλτικ, Ένα",بالتیک، اینا
Curovic T / Olianovskaia V,Κουρόβιτς Τ / Ολιανόβσκαια Β,کوروویک تی / اولیانووسکایا
Rodionova A / Shibahara E,Ροντιόνοβα Α / Σιμπαχάρα Ε,رودیونووا آ / شیباهارا ای
"Bucea, Iulia","Μπουτσέα, Ιούλια",بوچا، یولیا
Cazacu D N / Ratti L,Καζάκου Δ Ν / Ράττι Λ,کازاکو دی ان / راتی لی
Bucsa C / Danilina A,Μπούτσα Κ / Δανιλίνα Α,بوکسا سی / دانیلینا ای
"Jeong, Sunam","Τζονγκ, Σουνάμ",جونگ، سونام
Roveri Sidney G / Yamacita F,Ρόβερι Σίντνεϊ Γ / Γιαμακίτα Φ,رووری سیدنی جی / یاماکیتا اف
"Barry, Sarah","Μπάρι, Σάρα",بری، سارا
"Doberlet, Pika","Ντόμπερλετ, Πίκα",دوبرلت، پیکا
Parres Azcoitia O / Rosca I L,Πάρες Αζκοϊτιά Ο / Ρόσκα Ι Λ,پارس اسکویتیا او / روسکا ای ال
Barki N A / Geerts M,Μπάρκι Ν Α / Γκέρτς Μ,بارکی ان ای / گرتس ام
Hering K / Rajkovic A,Χέρινγκ Κ / Ράικοβιτς Α,هرینگ کا / راجکوویچ ای
Jorge F / Jorge M,Χόρτζε Φ / Χόρτζε Μ,جورج اف / جورج ام
"Gunneswaran, Prajnesh","Γκούνεσγουαραν, Πραζνες",گونیسواران، پراجنش
Mu T / Strombachs R,Μι Τ / Στρόμπαχς Ρ,مو تی / استرومبچس ری
"Farjat, Tomas","Φαρζάτ, Τόμας",فارجات، توماس
Avraam C / Pantzaris L,Αβράαμ Κ / Παντζάρης Λ,آورام سی / پانتزاریس لی
"Mdlulwa, Wozuko","Μντλουλγουά, Βόζουκο",مدلولوا، وزوکو
Anicic I / Carassai C,Ανιτσιτς Ι / Καρασάι Κ,آنیسیک آی / کاراسایی سی
"Baldisserri, Enrico","Μπαλντισερί, Ένρικο",بالدیسری، انریکو
Spiteri D / Zantedeschi A,Σπίτερι Ντ / Ζαντεντεσκί Α,اسپیتری دی / زانتدسکی آی
"Simonit, Ezequiel","Σιμόνιτ, Εζεκιέλ",سیمونیت، اسکوئیل
"Lodikova, Daria","Λόντικοβα, Δαρία",لودیکووا، داریا
Bondarenko M / Sakellaridi S,Μπονταρένκο Μ / Σακελλαρίδη Σ,بوندارنکو م / ساکلاریدی س
"Nedic, Andrej","Νέντικ, Αντρέι",ندیک، اندرئج
Failla J / Ulyashchenko A,Φάιλα Τζ / Ουλιαστσένκο Α,فایلا ج / اولیاشچنکو آ
Stefani L / Zhang S,Στέφανι Λ / Ζανγκ Σ,استفانی ل / ژانگ س
"Norrie, Cameron","Νόρι, Κάμερον",نوری، کامرون
"Herbert, Torran","Ερβερτ, Τοραν",هربرت، توران
"Stefan, Giulia Sophy","Στέφανι, Τζουλία Σόφι",استفان، گولیا سوفی
Alves C M R / Lamens S,Αλβές Σ Μ Ρ / Λαμένς Σ,الوز سی ام آر / لامنز س
"Kaparov, Arystanbek","Καπάροφ, Αριστάνμπεκ",کاپاروف، آریستانبک
"Basic, Nikola","Μπάσικ, Νικόλα",باسیک، نیکولا
Anghel D-M / Sodeyama H,Ανγκελ Ντ-Μ / Σοντεγιάμα Χ,آنگل دی-ام / سودیاما هی
"Bouchard, Eugenie","Μπουσάρ, Ευγενία",بوشار، اوژنی
Ayukawa M / Parnaby A,Αγιουκάβα Μ / Παρνάμπι Α,آیوکاوا می / پارنابی آ
Andaloro F / Picchione A,Ανταλόρο Φ / Πιτσιόνε Α,آندالورو فی / پیچیونه آ
"Nayar, Sara","Ναγιάρ, Σάρα",نایار، سارا
"Pliskova, Karolina","Πλίσκοβα, Καρολίνα",پلیسکووا، کارولینا
"Ferrando, Cristiana","Φεράντο, Κριστιάνα",فراندو، کریستیانا
MA Y / Uchijima M,ΜΑ Γ / Ουτσιτζίμα Μ,ام-ای / اوچیجیما می
"Seidman, Lev","Σάιντμαν, Λεφ",سایدمن، لو
"Buehler, Sebastian","Μπέχλερ, Σεβαστιάν",بوهلر، سباستیان
Jayachandran V / Rajan G,Τζαγιατσαντραν Β / Ρατζαν Γ,جایاچاندران وی / راجان جی
"Nestola, Fabio","Νεστόλα, Φάμπιο",نستولا، فابیو
"Chirico, Louisa","Τσιρίκο, Λουίζα",چیریکو، لوییزا
"Jecan, Mircea-Alexandru","Τζεκαν, Μιρτσέα-Αλεξάντρου",جکان، میرچئه-آلکساندرو
Cornea V V / Pel D,Κορνέα Β Β / Πελ Δ,کورنه وی وی / پل دی
"Kostka, Thomas","Κόστκα, Τόμας",کوستکا، توماس
"Modesti, Vittoria","Μοντεστί, Βιττόρια",مودستی، ویتوریا
"Andrieu, Clement","Αντριέου, Κλεμέντ",اندریو، کلمنت
Milojevic N / Silva F F,Μιλόιεβιτς Ν / Σίλβα Φ Φ,میلوجوویچ نی / سیلوا فی فی
"Mazzucchelli, Ludovica","Ματζουκέλλι, Λουντοβίκα",ماتزوچلی، لودوویکا
"Isner, John","Ίσνερ, Τζον",اسنر، جان
"Augunas, Julius","Άγκουνας, Γιούλιος",اوگوناس، یولیوس
"Korpanec Davies, Allegra","Κόρπανεκ Ντέιβις, Αλλέγκρα",کورپانک دیویس، آلگرا
Statham R / Yevseyev D,Στάθαμ Ρ / Γιεφσέεβ Ντ.,استاتهام آر / یوسیویو دی
"Aggarwal, Parth","Άγκαρουαλ, Παρθ",آگاروال، پارت
Siskova A / Timofeeva M,Σίσκοβα Α / Τιμοφέεβα Μ,سیسکووا آ / تیموفیوا م
"Chen, Kuan Yu","Τσεν, Κουάν Γιού",چن، کوان یو
Fett J / Lukas T,Φεττ Τζ / Λουκάς Τ,فت جی / لوکاس تی
"Zacarias, Marcela","Ζακαρίας, Μαρσέλα",زاکاریاس، مارسلا
"Inoue, Geni","Ίνουε, Τζένι",اینوئه، ژنی
"Firaru, Andrei","Φιραρού, Αντρέι",فیرارو، اندره
Galfi D / Kovinic D,Γκαλφι Ντ / Κοβινιτς Ντ,گالفی دی / کووینیک دی
"Krockova, Natalia","Κροκόβα, Ναταλία",کروکووا، ناتالیا
Welker E / Yamazaki I,Γουέλκερ Ε / Γιαμαζάκι Ι,ولکر ای / یامازاکی ای
"Bernet, Henry","Μπερνέτ, Χένρι",برنت، هنری
"Bertuccioli, Federico","Μπερτουτσιόλι, Φεντερίκο",برتوکیولی، فدریکو
Ramirez E / Reguer A,Ραμίρεζ Ε / Ρεγκερ Α,رامیرز ای / رگوئر ای
"Brogan, Anna","Μπρόγκαν, Άννα",بروگان، آنا
"Timini, Andreas","Τιμίνι, Ανδρέας",تیمینی، اندره
"Ivashka, Ilya (Srl)","Ιβάσκα, Ίλια (Σρλ)",ایواشکا، ایلیا (سرل)
"Ku, Yeon Woo","Κου, Γιον Οο",کو، یون وو
"Lundquist, Fredrik","Λαντκουιστ, Φρεντρικ",لوندکوست، فردریک
"Chanta, Thanapet","Τσαντα, Θαναπετ",چانتا، تاناپت
"van Orderlain, Drew","φαν Ορδερλαιν, Δροο",وان اوردرلین، درو
"Okamura, Kyoka","Οκαμουρα, Κιοκα",اوکامورا، کیوکا
"Khuda, Artem","Χουντα, Αρτεμ",خودا، ارتم
Diatlova K / Lazar S,Διατλοβα Κ / Λαζαρ Σ,دیاتلووا کی / لازار سی
Samir S / Sherif Ahmed R,Σαμιρ Σ / Σεριφ Αχμεντ Ρ,سمیر سی / شریف احمد ری
"Pieri, Jessica","Πιερι, Τζεσικα",پیری، جسیکا
"Abibsi, Mohamed Ali","Αμπιμσι, Μοχαμεντ Αλι",آبیبسی، محمد علی
Herdzelas D / Silva E,Χερντζέλας Δ / Σίλβα Ε,هردزلاس دی / سیلوا ای
Martin F / Rublev A,Μάρτιν Φ / Ρούμπλεφ Α,مارتین فی / روبلوا ای
"Plosnik, Ela","Πλοσνίκ, Έλα",پلاسنیک، ایلا
"Bini, Victor","Μπίνι, Βίκτορ",بینی، ویکتور
"Auger-Aliassime, Felix","Ογκερ-Αλιασίμε, Φέλιξ",اوگر-آلیاسیم، فلکس
"Kypson, Patrick","Κάισπον, Πάτρικ",کایپسون، پاتریک
"Donarski, Sid","Ντονάρσκι, Σιντ",دونارسکی، سید
"Shamsi, Luca","Σαμσί, Λουκά",شامسی، لوکا
Boehner L / Wirges A,Μπέχνερ Λ / Βίργκες Α,بوهنر لی / ویرگز ای
Bakshi A / Metreveli A,Μπάκσι Α / Μετρεβέλι Α,باکشی ای / مترولی ای
"Alhussein Abdel Aziz, Lamis","Αλχουσείν Αμπντελ Αζιζ, Λαμίς",الحسين عبد العزيز، لميس
"Gavrielides, Liam","Γαβριέλιδες, Λιαμ",جافريليديس، ليام
Bybel N / Kovapitukted P,Μπίμπελ Ν / Κοβαπίτουκτεδ Π,بيبل ان / كوفابيتوكتد بي
Iatcenko P / Tkacheva M,Ιατσένκο Π / Τκατσέβα Μ,ياتسينكو بي / تكاشيفا مي
Pervolarakis M / Saville L,Περβολαράκης Μ / Σάβιλλε Λ,بيرفولاراكيس مي / سافيلي لي
"Masabayashi, Tomohiro","Μασαμπαγιάσι, Τομοχίρο",ماساباياشي، توموهيرو
Alcala Gurri M / Barreto Sanchez D A,Αλκάλα Γουρρί Μ / Μπαρρέτο Σάντεζ Ντε Α,الكالا غوري مي / باريتو سانشيز دي اي
Pavlenko P / Sobbe L M,Παφλένκο Π / Σόμπε Λ Μ,بافلينكو بي / سوبي لي مي
"Tosetto, Rafael","Τοσέτο, Ραφαέλ",توسيتو، رافائيل
Ng M Y M / Vinahradava H,Νγ Μ Γ Μ / Βιναχραδάβα Χ,انج ماي ماي / فيناهرادافا هي
"Dabiri, Ashkan","Νταμπίρι, Άσκαν",دابیری، عشقان
"Brunold, Mika","Μπρούνολντ, Μίκα",برونولد، میکا
"Haviland, Ryan","Χάβιλαντ, Ράιαν",هاویلند، رایان
Kyjaci S / Lanik T,Κυτζάκι Σ / Λάνικ Τ,کیجاچی س / لانیک تی
"Nevzorova, Elizaveta","Νεβζόροβα, Ελιζαβέτα",نوزورووا، الیزاوتا
"Coppejans, Kimmer","Κοππέιανς, Κίμμερ",کوپهجانز، کیمر
Binding J / Storrie R J,Μπέστετι Γ / Βέκερλε Ρ Τ,بیندینگ جی / استوری ری جی
Bestetti G / Weckerle M,Μπεστέττι Γ / Βέκερλε Μ,بستتی جی / وکرله می
"Zack, Alian","Ζακ, Άλιαν",زاک، آلیان
Daley D / Wilson E,Ντέιλι Ντ / Γουίλσον Ε,دیلی دی / ویلسون ای
Dougaz A / Ejupovic E,Ντουγκάζ Α / Ευποβιτς Ε,دوگاز آ / ایوپوویچ ای
Chile,Χιλή,چیله
Kawakami R / Kumasaka T,Καβακάμι Ρ / Κουμασάκα Τ,کاواکامی ر / کوماساکا تی
"Sridhar, Srinidhi","Σρινιδαρ, Σρινιδχη",سریدهار، سرینیدهی
"Alves, Mateus","Αλβες, Ματευς",الوز، ماتوس
Atlangeriev B / Genov A,Ατλανγκεριεφ Β / Γκενοφ Α,اتلانگریو بی / گنوف آ
Moccia C / Shan Y,Μοκκια Κ / Σαν Υ,موکیا سی / شان ی
Claverie L / Loof T,Κλαβερι Λ / Λοοφ Τ,کلاوری ل / لوف تی
"Villacampa Goni, Inigo","Βιλακαμπα Γκονι, Ινιγκο",ویلاکامپا گونی، اینیگو
Kielan S / Pichler D,Κιελαν Σ / Πιχλερ Δ,کیلان س / پیچلر دی
"Kuparev, Anastasiya","Κουπάρεφ, Αναστασία",کوپاریوو، اناستاسیا
Charles L / Kalamaris G,Τσάρλες Λ / Καλαμάρης Γ,چارلز ایل / کالاماریس جی
Dong B / Mu T,Ντονγκ Μπ / Μου Τ,دانگ بی / مو تی
